0	[CLS]Problems of Brazilian Rural Labor Union as Seen in Typical Northeastern Community[SEP] LIMITED OPPICIAL DSl Air Pouoh  DEPARTMENT OF 3TATB  INFO f RIO DE JANEIRO, BRASILIA, SALVADOR  AaConOen RECIFE i^ril 21^, 19614.  Problems of Brazilian Rural Labor Onion as Seen in  Typical Northeastern Qoiaraunity  A-138, April 23, 19614.  filBiARY AND INTRODUGTICM  Th9 drafting officer and Jose do Patrooinio OLiyEIRA,  director of the Recife office of 0 Olobo visited Vitoria de  Santo Antao, one of the foci of rural agitation in Pernambuco,  on April 17, 19614., The most ooiaplete tranquility appeared to  reign and not a single soldier was seen. Both the vicar of  the parish. Padre Renato da Cunha CWALGANTI, and the president  of the local syndicate of rural laborers, Manuel Alves de ARAUJO  Pilho, mphasizod the difficulties encountered by the rural  union which, before the revolution, had to fight on two fronts—  against the Ligas and against the majority of the landowners,  l^e main problem now facing the union, which presently enjoys  a monopoly situation, is its lack of trained leaders, facilities  and equipment, A suggestion is made that assistance, preferably  not tlrirough United States Ooverraaont agencies, be rendered to  unigns such as the Sindioato dos Trabalhadores Rurais de Santo  Antao.  SETTING  One of the centers of rural agitation in the Northeast,  the munlcipio of Vitoria de Santo Antao, had a population of  89,000 in 1900, It is typical of the humid zone (zona da mata)  in that its economy revolves around the growing a net processing  of sugar cane. Mill and plantation owners (uslneiros and senhores  de engenho) form its aristocracy while field hands (oamponeses)  form a teeming and miserable rural proletariat which, until ro- oent years, had evolved but little since the days of slavery,  LIMITED OFFICIAL USE  FExtonsje [SEP]LAB 3 Organizations & Conferences 1964 (Classified)[CLS]
1	[CLS]Basic Info About Caruaru[SEP] TELEGRAM  INCOMING Foreign Service of the  United States of America  LIMITED OPPICIAL USE  Classification Control:  Reed :Jan 2, 196it.  8:30 AM^y^^  PROM: RIO (/  NO : TOPAO 102, December 31 > ^1- PM  USITO 15.  Send basic info Caruaru for forwarding agency. Pictures other  illustrative material would be helpful securing sister city- affiliation.  BOERNER 6y  LIMITED OPPICIAL USE  REPRODUCTION FROM THIS COPY IS  Classification """'B'TEO UNLESS "UNCLASSIFIED'r  FORM FS-412  MM POST ACTION COPY  GPO 89 20 57 [SEP]POL 18 Pernambuco 1964 (Classified)[CLS]
2	[CLS]No Request for Overflight or Landing Clearance[SEP] TELEGRAM  INCOMING Foreign Service of the  United States of America  AV 15«1  SECRET  Classification Control:  Reed: Mar 17, 1961+  9AM  PROM: PORT OP SPAIN  NO : 1, March 16, 10 AM  ACTION DEPT 328 INFO LONDON 55 RIO 11 CONAKRY 2 RECIPE 1  Reference: DEPCIRTEL 1673.  Sec External Affairs states still has n® request f®r overflight  or landing clearances Soviet aircraft.  GP-3  WOLLAM  GROUP 3  Downgraded at 12-year intervals,  not automatically declassified.  SECRET  FORM rs.4ij  M S5 Classification  POST ACTION COPY REPRODUCTION FROM THIS COPY IS  PROHIBITED UNLESS "UNCLASSIFIED"  GPO 8920 57 [SEP]AV - Aviation (Civil) 1964 (Classified)[CLS]
3	[CLS]Armed Conflict on Farm Near Mari, Paraiba[SEP] DECLASSIFIED  OUTGOING AmConGen RECIPE Foreign Service of the  United States of America  LIMITED OPPICIAL USE Chctrge: Classification Control: Date: Jan 16, 196ii. 3:30 PM ACTION: Amembassy RIO DE JANEIRO 206  Armed conflict yesterday on farm near Mari, Paraiba about  15 miles west Joao Pessoa resulted at least ten dead and dozen  wounded. Conflict followed attempts three local police and several  farm foremen and workers to investigate invasion farm by over two  hundred rural workers reportedly connected with Ligas Camponezaa.  Local leader Miri Liga, Antonio Galdino» among those reported killed.  Six members of group eight which investigating invasion were killed  and other two seriously injured in what practically amounted  massacre at hands large band invaders.  Governor Pedro Gondim has sent strong police reinforcements  into area and has cancelled plans attend housing conference in Chile.  Situation appears under control but exceedingly tense.  Consular Officer Kilday left this morning for Joao Pessoa to  get first hand account situation, particularly since ConGen receiving  increasing rumors possible large scale agitation among Paraiba rural  workers with leadership emanating from Pernambuco. Press reports  Juliao held meetings last Sunday in Sape near scene yesterday's  conflict.  LIMITED OFFICIAL USE REPRODUCTION FROM THIS COPY IS  PROHIBITED UNLESS "UNCLASSIFIED" Classification  FORM FS-413 S-1-5S GPO : 1961 O -61ZZ13 (69) [SEP]LAB 6 Labor Management Relations 1964 (Classified)[CLS]
4	[CLS]Northeast School Loan Program - USAID[SEP] m LIMITED OFFICIAL USE  EMBASSY  At UNITED STATES OF AMERICA  Rio de Janeiro, Brazil  April 19, 1967  OF FICIAL - INF ORMAL  Grant H. Hilliker, Esquire  American Consul General  American Consulate General  Recife  Enclosed is a copy of a memorandum which 1 have sent to Bill Ellis  in response to the memorandum he furnished me on the subject of  the Northeast School Loan Program raised in your letter of April 5.  We appreciate having this problem brought to our attention and I am  happy to see that AID is sensitive to the complexities of the problem.  We attach a great deal of importance to education and of course it is  one of the most difficult areas in which to work because of Brazilian  sensitivities and the nationalistic attacks on our efforts to cooperate.  While solution of the education problem will not assure Brazil entry  into economic take-off/world power status, it is hard to envision the  country reaching that stage without solving it.  Sincerely,  7cnsuiate Genera! oi  United States of Amcr  APR 2 ? 1967  Philip Raine  Recife, Brazil Deputy Chief of Mission  Enclosure:  Copy of Memo to Mr. Ellis.  cc:USAlD:William Ellis  LIMITED OFFICIAL USE [SEP]USAID-NE SECRET 1964-67[CLS]
5	[CLS]Specifications for the Construction of the American School in Recife[SEP] 0^  11 - I. ixION OF xHi; AFRICAN SCHCCL  TABLE Of COHxiaiTS  I) bwrn. ..I0I3  II) r.mcLiiios  1,.2 'G'vi^>--i  m) MCAVlilCSj ilLLlMCi LSfgtm  IV) CORCRETE  V) MASOSKT AMD PLABT^I  ¥1) WOOD PMI-tm  VII) ROOFS ARD FALSE C  VUl) GLASSES MD FOIWS  U) WATER lAMK  X) CI3l£li.IRGa  SI) PLOCF ijr.-^'-^ Vr CIAIGG  'iJDOD FLOORS MD fRULES 111)  nil)  m HARARE  Xfl) - L .  XVII) iffI«miC IMSxALLMiai  XVIII) ELECTRIC WSiALLAiiai  XIS) CLC...,.^;, -illD FITTIKGS  XX) PARKHJC PL.iCK. RS  ... GLOSEi'S [SEP]EDU 9-5 - American School of Recife[CLS]
6	[CLS]Pernambuco Economic Developments as Revealed by CHESF Power Sales to Industries[SEP] A-83 UNCLASSIFIED Air Pouch  DEPAETMETil OF STATE  IKi''0 : RIO DE JANEIRO, SAO PAULO, SALVADOR  AmCouGeu RECIFE February 10, I966  Pernambijco Economle Developments as Revealed by CEESF  Power Sales to Industries  Direct Power sales by CHESF to industrial enterprises in Pernambuco  provides significant evidence concerning econcaaic developments in the  Northeast in recent years. (See Enclosure l)  The first and iimst general comment that one can make concerning  this evidence is that increases in Industrial power consiuaption have been  due principally to the establishment of new industries (or new uses as  in case of irrigation by the Usina Bulhoes) rather than to increases in  consumption by established industries. Indeed, the overall increase in  power consumption registered in I965 is almost exactly equal to that of  COPERBO (synthetic rubber) plus Brahma (beer) - two new plants pioneering  the production of new products. In 196k, the small drop in consumption  by industries previously hooked-up to the CHESF system was more than  compensated by the entry into the market of the Ciau Agro Industrial  Igarassu, a manufactirrer of caustic soda belonging to the Josi Ermirio  de Morais (Votorantiaa) group.  The second general coiament that one can make is the apparent non- synchronous occurrence of the recession in the sugar and textile indus­ tries. A small decline in power consumption is registered in I963 by  the listed sugar mills, coinciding with the period referred to locally  as the "time of Arraes" when the activity of the industry was interarupted  frequently by strikes, but recovered subsequently, in all but one case  to levels significantly higher than in I962. On the other hand, consump­ tion by textile miUs continued to increase in I963, dropping in one case  in 1964, but only registering a marked decline in I965 when the indxistry  was seriously affected by the recession of the first semester of the year.  UNCLASSIFIED  FExton:Ifw 2/10/66 [SEP]GENERAL REPORTS & STATISTICS[CLS]
7	[CLS]Obtain Department Approval of Renovation Plans[SEP] DECLASSIFIED  Authority /\JND5'333-5'  TELEGRAM Foreign Service of the  United States of America  INCOMING  UNCLASSIFIED  Classification Control:  Reed: OCT 19, 1966  FROM: RIO 3968 Oct 18  TO ROIVELL FROM RAINE.  VIEW IMPORTANCE OFFICE BUILDING PROBLEM I HAVE ASKED JOHN CRAvVFORD  GRANT HILLIKER AND BERT FIELDEN OF USIS TO VISIT RECIFE IN ORDER  BE OF ASSISTANCE AND LEND EMBASSY SUPPORT YOUR EFFORTS OBTAIN DEPARTMENT  APPROVAL OF APPROPRIATE PLANS, WILL ARRIVE SUNDAY OCT 23 ON CRUZEIRO DO  SUL FLIGHT NO 108 FOR APPROXIMATELY THREE DAYS, REQUEST HOTEL RESERVATIONS  TUTHILL  UNCLASSIFIED  FORM FS m  3-1-55 Classification  POST ACTION COPY REPRODUCTIOK FROM THIS COPY  IS PROHIBITED UNLESS "UNCLASSIFIED"  GPO 892057 [SEP]Buildings & Grounds[CLS]
8	[CLS]Hunger and Unemploment in the Sugar Zone; The Current Crisis in Four Pernambuco Towns[SEP] DECLASSIFIED  A-158  OF SI- •  •^"^^ S RIO DF T . ,^,-AStLlA GROUP 3  DowBgraded at l2-year laterYals.  not autoaatically declaaalfled.  T PLEAS*  • OTilER  .LI AH  GOHSITLAfBS JnCoQfkB illOIPl  Huager aiid Uneiqployiaant In tlia Su^ta> ^one; lb*  Current Crisis in Four P«nMnba«o Towns  C«iasn*8 iuue of April 5» 1965  TABLE OF mm^^  Introduction  Ths Current Crisis  Field Report  Isosda  Pslsisres  Road landing in Joaqulm Habuco  Caaalelra  Rlbairio  Oanaral Conmants  Conclusions  -V1... ui'i ^ ^i.i u i,u unecoiw>BilG sugar  plantations and allle, and the current '^between harveat*  slack seaaon, have eaused unprecedented unewployaent aaong  field wox^cers In the Pemambuco sugar sons. A large propor­ tion of thew are living entirely or almost entirely on dis­ tributions of food from Caritas (principally supplied by  Pbod for Feaoe)| this is not, however, sufficient and there  is an alarming rise in severe hunger, together with a rise  in infant mortality and deaths from malnutrition. Observe^  HCHacDougallsjrw 5/25/65 [SEP]LAB LABOR & MANPOWER[CLS]
9	[CLS]The Rio Grande Do Morte Election[SEP] DECLASSIFIED  AuthorityMll53^2^  CONFIDEUTIAL  DEPAimffill'lT OF Sm'iS  liifO : lao DE JAiiEIHO, BRASILIA  AiaConGen RECIFE  The Rio Grande do Norte Election  ConGen's A-li of August 6, I965 November 17, 1965  EASE PA  oEliEE  BRAZILIAN  CONSULATES  AND RETURN  10 COPIES  TO RECIFE SUi:  The Eio Grande do Noi-te Election was a smashing victory for the  Cruaada de Esperanoa, the personal political machine of Governor Aluizlo  Alves. In an extremely hard-fo\ight and vehement cac^algn, marked by  universal and frenetic public participation, the Govenior obtained a  substantial majority for the PSD-PTB-PDC ticket of Monsignor Walfredo  Gurgel and Clovis Motta, Tdiile in the city of Natal the race for Mayor  was easily won by the Governor's brother, A(qielo Alves. Rio Grande do  Norte faces a continuation of its present regime, but with a possible  loss of momentuia from the pace set by Governor Alves. An unanswered  question is the extent to which the inccaaing Governor will attempt to  keep himself independent from the current incumbent.  Enclosures:  1. Election Returns (UNO)  2. Biography of VJalfredo Gurj  5. Biograpliy of Clovis Motta GROUP 8  Downgrade! at I2.year Intervals,  not.automatically declassified.  HCMacDougall:Ifw II/17/63 [SEP]Elections[CLS]
