0	Problems of Brazilian Rural Labor Union as Seen in Typical Northeastern Community
1	Basic Info About Caruaru
2	No Request for Overflight or Landing Clearance
3	Armed Conflict on Farm Near Mari, Paraiba
4	Northeast School Loan Program - USAID
5	Specifications for the Construction of the American School in Recife
6	Pernambuco Economic Developments as Revealed by CHESF Power Sales to Industries
7	Obtain Department Approval of Renovation Plans
8	Hunger and Unemploment in the Sugar Zone; The Current Crisis in Four Pernambuco Towns
9	The Rio Grande Do Morte Election
10	CODEL Selden
11	Contracts: Grant Agreement to American School of Recife
12	Request for O Trabalhador Publications
13	Functional & Backstopping Directory for the Office of the Deputy Assistant Secretary for Management
14	Thomas Johnston Travels to Recife
15	Acquisition of NASA Sphere
16	USAID Report on Housing and Urban Development
17	Request for Speaker NE Regional Cotton Symposium, Recife, Dec. 18-20
18	Comments on Conversation with the Brother of Governor Nilo Coelho
19	Finance: Fiscal Data GTR Ll,346,962
20	Peace Corps Volunteers as part of the Sterilization Program in Northeast
21	Oliver/Clark Visit
22	Catholic Radicals in the Northeast
23	Aluisio Alves Announces Candidacy for Mayor of Mossoro, RN, Brazil
24	Natal Chosen as Site of the American Spacial Program
25	Municipal Elections: Preliminary Appraisal Of National Implications
26	Analytical Assesment Of Local Reactions
27	Further Develpments in Ban on Frente Ampla
28	Conversation With President About the Security Of Americans
29	Meeting With President in Rio de Janeiro
30	Authorities Absolve Most Recife Engineering Students
31	Rockefeller Report Release
32	Student Demonstartion Wrap Up
33	Clergymen Charged with Subversion: Further Developments
34	Cotonoficio Torre Manufacturing
35	Northeast Reaction to Assumption of Power by Military Ministers
36	Ambassador's Kidnapping
37	Medici's Cabinet
38	Cassations in Goias
39	American Priests Comment on the Role of Foreign Clergymen in Brazil
40	Travel Costs of ComTech O'Brien
41	Reference to Overseas Schooling
42	Order to Read Document
43	Retires/Retained Checks
44	Revision of Form FS-436,Guide for the Examining Physician
45	Opening of Nigerian Embassy
46	Forwarding Helping Items of Information
47	Mission Special Instruction to Project Gemini X
48	Mato Grosso Election Results
49	Proposed Schedule
50	Report on Weekend Meeting of Sugar Zone Bishops
51	Suggestion of Rescheduling due to Clash with Commerce Two-Week Solo Exhibit
52	F-5 Fighter Jets
53	Official Visit of JBUSMC Personel
54	Brazil's Policy Toward Vietnam
55	Middle East
56	Small Student Demonstration Attempt in Recife
57	Costa e Silva Nominates New Mayor for Brasilia: Wadjo GOMIDE
58	ADAUTO CARDOSO Joins Supreme Court
59	President Invites the White House and OAS to Texas
60	Visit Logistics
61	Sterilization Controversy Hits Rio Grande do Sul
62	Cruise of Research Vessel John Elliot Pillsbury
63	Codel Hardy
64	French-Brazilian Nuclear Mineral Exploration Program
65	U.S. Reaction to French Devaluation
66	Changes in Tariff and Trade Restrictions: Proposed Alteration in Customs Tariff (Paper & Paperboard)
67	Appraisal of Economic Reporting
68	Industrial Development in Northeast Brazil
69	Finance: State's Largest Acceptance Company Folds
70	U.S. Visit UNESCO Officer Roger Berthelot
71	Nurse Phyllis Pippitt to Arrive in Brasilia on Sunday
72	Changes in Tariff and Trade Restrictions
73	Intended Addressee for  Books Received
74	Expansion of Brazilian Army Activities in Amazonia
75	USAID Initiative in Agriculture: Northeast Brazil
76	Trip Report- Travel in State of Rio Grande do Sul
77	Letter to Kenneth D. Frederick re: agricultural development in the Northeast
78	NE Agricultural Study
79	Letter and newsarticle about governmental plan to use cerrado lands to increase agricultural production
80	Request for Books
81	RTAC Publications
82	Book Request
83	Request for Publications
84	Information Series of Technical Papers on Agricultural Production and Development to serve LDCs
85	FY 1971 Program Guidance - Technical Support and Administrative Expenses
86	Preliminary FY 1969 T.C. Levels
87	1967 Program Memorandum
88	Status of NE SUBIN Projects as of August, 1970
89	Request for Business Addresses Attendees IX Inter-American Savings & Loan Conference, Panama
90	Project Agreement - M.O. 1333.1
91	Obligation Concepts--Technical Assistance Projects
92	Schedule on PROP Submissions and Review, Special Exceptions
93	AID Appraisal of Proposed UNDP Projects
94	PROP Revision Draft
95	Strategy for Development of Cooperatives in Brazil
96	Questionnaire on AID Cooperative Projects for FY 1965
97	Disaster Relief Committee
98	Selective Migration Program of ICEM
99	The Role of Popular Participation in Development
100	Aderbal Caetano Correa
101	Transmittal Form of Telegrams on USAID Mission to Para
102	Rolled Wheat Uploading
103	Visits to Para, Amapa and Maranhao
104	Economic Reporting: Monthly Summary - February, 1966
105	University of Miami oceanographic vessel
106	Report of Infectious Diseases
107	Congratulations to Frances L. Weinmann
108	American Independence Day
109	Election Information Request
110	Semi Annual Report: North Area
111	Balance of Payments Program
112	Mineral Production Statistics Questionnaire - 1967
113	Alianca Mirim
114	Brazil Nuts
115	Manganese Ore Exports From Macapa, Amapa, Brazil
116	Authorization to Visit Unimak
117	Thank you Mr. Goelz
118	Shipment of Office Equipment
119	VIP Visitors at Industrial Exhibition
120	Seventh Pass Focclant
121	Death of Robert F. Kennedy
122	Welfare-Whereabouts (Financial Assistance): Journalists
123	Monthly Summary - July 1964
124	Massive Land Swindle is Unearthed in Brazil
125	Promotion of Foreign Service Staff Employees FSS-9 and 10; Personnel Evaluation Reports
126	Invitation to Cultural-Religious Program
127	ADMINISTRATION: Arrival of Principal Officer
128	New Performance Rating Form
129	Problems with Sending Fallout Samples
130	Alimentos para a Paz Project is mentioned in Newspaper
131	Para Partners Travel
132	Economic Trends Report
133	Trip Report: Belem, Fortaleza, Natal. May 25-31, 1969
134	Volunteers for Viet-Nam
135	Goods Shipped Officially at the Expense of the United States Government
136	Supplement 2--Tariff Schedules of the United States Annotated (1969)
137	Brazilian Government Control Over Foreign Borrowing
138	Manaus Lumber Industry
139	Shipment Made Under all Terms and Conditions of the Standard Form
140	Faculty of Chemistry, University of Para Intervened
141	Commercial Programs: Follow-Up: WTDR on R.B. Feito Import/Export, Rua Itamaraca 31, Manaus, Amazonas, Brazil
142	Pennsylvania Trade Mission to Latin America
143	Trade Complaint: Magazine Subscription Sale: ELHCO Industries of California, 2105 48th Avenue, Oakland, California 94601
144	Letter Received from the Department of Commerce for Transmittal to Mr. Mario Cardoso Gomes
145	A critica and Its Circulation in the State of Amazonas
146	Visa Permission in a Personal Basis
147	Task Force Reports
148	American Citizen Lost Passport in Manaus, Brazil
149	Passport Application to American Citizen in Manaus, Brazil
150	Higher Education Project References Talking Paper
151	AID - University Task Force for Agricultural Development
152	Comments on CASP
153	Request for Purchase of Modern Calculator for Economics Division
154	Educacao Moral e Civica
155	Research Projects on Corn and Soybeans
156	Request for Information on Cotton Acreage and Production
157	Correspondence regarding Seeds
158	ACDI 1971 Annual Report
159	Tea Plant Clones
160	Institutional Grants Series
161	Book Distribution of Introducao ao Estudo dos Insetos by Borror and DeLong
162	Rooting hormones for Coffee Cuttings
163	INCRA Regulations:  General Norms of the National Institute of Colonization and Agrarian Reform
164	US and Host Government Strategies for Agricultural Development in Latin America/The Land Tenure Center Research and Training Program
165	Book Request Follow-Up
166	Report on Sector Analysis Entitled: Methodology and Analysis: Bolivian Agricultural Production and Marketing Loan
167	Request for Nature and Properties of Soils
168	Fatos Boatos
169	Portuguese translation of Forages by Professor Martins
170	Brazilian Supreme Court Decision
171	Goias Governorship Dispute
172	Miguel Arraes, Bevilacqua, Bank Strikers and other Brazilian Internal Affairs
173	Expropriation of Unused Land
174	IRC Processing Green Sheet
175	Sao Paulo Public Reactions to Second Institutional Act
176	Executive Committee Latin American Parliament Statement Oct 10
